,Company,Job,Job Description,URL
0,Analog Devices,"Principal Account Manager, Field Sales","To drive the sales goal set by agreed upon with Sr. Manager for the namely assigned customers.To meet the service objectives dealing with all sales and service issues from a customer satisfaction perspective.Develop long-term account strategies based on customer eco-system analysis and business engagement. Also ensure execution the 5YR growth plan through Account review events.Relationship Management, understands the customer profile (structure, organization, decision flow analysis, strategy, finance, etc).Secures through regular visits and Teams meetings the maintenance of appropriate and professional relationships with the relevant customer's departments and peoples and gets early visibility of new projects and business opportunities.Maintains professional attitude and conduct at all the times.Collaborates with the relevant team and Management layer in ADI Business Unit, to penetrate the system level solutions based on customer challenges.Opportunities pipelines review all business relevant aspects on a regular basis.Negotiates on all contractual issues and RFQ with the customer.",https://www.linkedin.com/jobs/search/?currentJobId=3457365395&geoId=91000004&keywords=Account%20manager&location=APJ&refresh=true
1,Clariant,"Regional Account Manager, Consumer Care","Cultivate new customers and strengthen existing customer relationships to drive sales and profitability with existing and new products.Build strong working knowledge of competitive spaces and product positioning.Proactively remain connected to clients and market trends to access new search opportunities and ensure all viable clients are engaged on a regular and effective basis.Implement strategic initiatives to successfully grow business with assigned accounts.Lead price negotiations with customers and manage profitability to achieve financial targets.Lead cross functional meetings and collaborate with internal teams to achieve fundamental goals and objectives.Act as the primary point of contact for respective customers.Provide clients with detailed proposals, workshops, and product consultations.Create and manage new opportunities within Customer Relationship Management (CRM) system.Manage customer projects and share information on a timely basis with internal stakeholders.",https://www.linkedin.com/jobs/search/?currentJobId=3497279625&geoId=91000004&keywords=Account%20manager&location=APJ&refresh=true
2,EXPRESS,Full-Time Sales Lead,"The Sales Leader drives operations on the sales floor and in the stockroom, while assisting in training associates and delivering a great in-store shopping experiences for customers.Provide in the moment coaching/training to store associates to ensure efficient and effective floor operations, customer service, coverage, stockroom management and execution of standards.Partner with Store Management to provide feedback on associate performance.Assist in training associates on store operations, product, policy, and procedures.Execute all aspects of daily store operations.Ensure appropriate associate coverage to create a great customer experience.Oversee and authorize the checkout experience.Assist with merchandise flow, such as shipment, replenishment, omni-channel operations, in the store.Monitor and analyzes the customer service provided by team members.Build an effective schedule with the right associate in the right place at the right time.",https://www.linkedin.com/jobs/search/?currentJobId=3515400323&geoId=103644278&keywords=Account%20manager&location=United%20States&refresh=true
3,Eaton,Global Account Manager,"Develop a trust-based relationship with key global and regional stakeholders (Commercial, product, marketing, procurement & strategy) to ensure a clear understanding of customer needs and priorities.Gain in-depth understanding of the DCS global initiatives such as BCC manufacture, global procurement, purchasing platforms.Develop, adapt and execute a tailored strategic growth plan for each account, communicate to internal and external stakeholders to ensure alignment.Develop opportunities on existing products to gain measurable market share as well as assess and bring new Eaton products into the business offering.Update and manage global price files and discount structure. Communicating to all internal and external stakeholders.Chair and coordinate monthly and quarterly business review calls to ensure relationship is on track and key trends and potential growth targets identified.Key Account growth targets achieved or exceededAccurate input in to budgeting and strategic growth plans process for key accounts.Measure and create strategy for 3rd party / channel partners supplying DCS accounts.Key project tracking within DCS and Eaton to ensure our strategical approach is coordinated and all key projects have Eaton coverage.Undertake competitor tracking within DCS to ensure visibility of market share and corresponding actions are taken, feedback to internal stakeholders.Managing and attending annual exhibitor events to promote Eaton solutions.Ensuring that all ethical, Health and safety policies are followed and promoted within the https://www.linkedin.com/redir/general-malware-page?url=business%2eTo perform domestic sales function, this person needs to manage Japan exsiting customers and develop new opportunities.",https://www.linkedin.com/jobs/search/?currentJobId=3445109306&geoId=91000004&keywords=Account%20manager&location=APJ&refresh=true
4,Reckitt,Account Manager,"Achieve the goal of Sales target and KPIs for the responsible customers.Develop win-win strategies for each customer based on the customer needs, brand strategies, and consumer needs, and build partnership with customers.Contribute to the company PL by effective management of resources including trade incentives.Maximize the access of consumer to the company's priority products, MSL (Must Sell Stock lines).Provide market feedback to the Sales Manager regarding movement of goods / brands.Handle and respond to existing products queries from clients quickly, effectively and accurately.Provide customers with the appropriate selection, sampling of products in response of their inquiries and provide quotations accordingly.Build and maintain effective customer relationships in order to build strong loyalty.Ensure payment of receivables in a timely and diplomatic fashion.Agreeing sales, prices, contracts and payments.Advising customers about delivery schedules and after-sales service .",https://www.linkedin.com/jobs/search/?currentJobId=3452046658&geoId=91000004&keywords=Account%20manager&location=APJ&refresh=true&start=25
5,Synventive Molding Solutions,Account Manager,"Successfully achieve the annual sales target assigned.Selling Synventive products to new and existing customers.Communicate customer expectations and needs to the internal organization.Forecast upcoming sales.Collection the payment from customers.Provide customer and competitor market information.Promote teamwork between Sales, Service, and Operations through professional communication.Daily visit report and other tasks assigned by Managing Director.",https://www.linkedin.com/jobs/search/?currentJobId=3529849474&geoId=91000004&keywords=Account%20manager&location=APJ&refresh=true
6,American Airlines,Senior Accountant,"This job is a member of the Accounting Team within the Finance DivisionOverview of accounting functions: Fixed Assets, Aircraft, Inventory, Fuel, Debt, Frequent Flyer Accounting, Stock Compensation and Administration, Investments and Cash, Benefits, Intangible Assets, Hyperion Administration, Foreign Exchange, Intercompany, G/L maintenance, Financial Statement Consolidation, SEC and other external reporting.Responsible for performing the day-to-day functions for the corporate accounting and/or financial reporting processes of the Company. Additionally, this role is responsible for preparing and analyzing certain account reconciliations in connection with the Company's monthly close process and completing other various projects as determined on an ad hoc basis. This position works closely with the corporate divisions to ensure accounting issues are appropriately identified, analyzed, documented in technical position memos and reported in external reports and internal presentations.Through research and follow up, ensures that reconciling items and discrepancies in accounting data are resolved in a timely mannerPrepares, peer-review, and provides documents (e.g. reconciliations, supporting schedules, and process maps) by requested deadlines to the Company's external auditors and the SOX group to ensure timely completion of quarterly reviews, the annual financial statement audit and SOX compliance test workReviews process maps and performs internal controls to ensure SOX compliancePrepares internal/external financial statements and disclosures for SEC filings. Documents and reviews support for SEC filings for accuracy. Prepare benefit plan financial statementsParticipates in the design, development, testing, implementation and documentation of accounting systems and related interfaces. Recommends and implements system modifications to improve internal control, increase efficiency or reduce costs. Identifies, documents, and escalates system issues to the IT departmentAssists with researching, documenting and implementing conclusions regarding technical accounting treatment for non-routine transactions and new accounting pronouncements for areas of responsibilityAssists in providing guidance on accounting issues to business groups of the CompanyAssists in providing new team members with appropriate training on business processes and system applications for assigned areas of responsibility.Assist in providing direction to team membersEvaluates the effectiveness and efficiency of business processes, procedures and accounting assumptions on an ongoing basis. Recommends and assists in process improvements to improve the control environment and increase the utilization of resources (people, technology, funds)Develops and maintains documentation for business and system processes for assigned responsibilitiesRepresents the department in meetings and through written and verbal communication with internal and external customersPerforms a variety of other functions/ad-hoc projects as assigned to aid in the department's/company's achievement of goals and business objectives.",https://www.linkedin.com/jobs/search/?currentJobId=3528069128&geoId=103644278&keywords=financial%20controller&location=United%20States&refresh=true&start=25
7,Arcadis,Cost Manager,"Arcadis is seeking a Cost Manager with a focus on capital projects to join our Project and Program Management team in our Places Business Area in Columbus, OH.As a Cost Manager, you will assist with Capital Project Controls (estimating, cost management, planning/scheduling, risk management, change management) during the design and construction phases of large data center projects.Providing support to the Project Controls Lead (PCL) and project team throughout the project lifecycle.Supporting production of project level reports for PCL including detailed analysis of project cost and changes.Maintaining and controlling budgets from design concept through to project completion.Assisting with change management and control of total project costs (general contractors, direct suppliers, and professional appointments).Analyzing projects to ensure that project funding is adequate by performing estimates, cost forecasts, cost trends, and accrual of actual costs.Developing cost estimates for civil, structural, architectural, plumbing, HVAC, and electrical disciplines.Preparing material, labor, and equipment cost estimates for concept designs, design development documents, bid documents, and change ordersEstimating and negotiating potential change orders.Completing cost validation and quantity surveying on an as needed basis.Monitoring and audit compliance.Reconciling program and project controls data with the client’s fiscal and financial controls systems.Presenting results of cost analyses to senior staff and clients.",https://www.linkedin.com/jobs/search/?currentJobId=3528025490&geoId=103644278&keywords=financial%20manager&location=United%20States&refresh=true
8,CooperVision,General Accounting Manager,"Responsible for various monthly and quarterly closing and the financial reporting to Corporate for the Americas entities.Responsible for overseeing monthly close processes which may include Accounts Receivable, Account Payable, Cost Accounting, Revenue, Rebates, Intercompany, Fixed Assets, Capital expenditures and Leases.Periodic presentation of the Financial Statements to the Finance Leadership team.Lead certain account reconciliation review meetings with local Finance Management.Provide technical and financial accounting advice and guidance to the Finance leadership team and other segments of the business.Responsible for ensuring compliance with Internal Controls and the timely remediation of any control deficiencies. Maintains accounting controls by preparing and recommending policies and procedures.Owner of various SOX processes and procedures within the general accounting department.Key contact for corporate accounting, consolidations, external auditors and internal auditors.Review and approve journal entry transactions and account reconciliations.Compile, review and sign off on required submissions as applicable - monthly and quarterly Sox Checklist, RDB and other required deliverables.Review and approve monthly accounting close process including analytical review of the monthly operating results to ensure accurate accounting records are maintained.Evaluate the General Accounting processes and strive for continual improvement, efficiencies, and effectiveness.Lead indirect taxes within the organization.Organize, select, and review account reconciliations for the Americas entities on a monthly basis.","Responsible for aspects of North America accounting and financial reporting requirements to Corporate. The accounting manager will prepare and/or review ledger entries and reconciliations; maintain aspects of the general ledger; contribute to the preparation of monthly, quarterly and annual financial statements, with regulatory reporting (Tax), reporting for SEC filings purposes as applicable; research accounting issues for compliance with generally accepted accounting principles (GAAP); coordinate, hire, train and supervise an accounting staff."
9,GHB,Finance Manager,"Management and Supervision of the finance team which comprising purchase and Sales Ledger and Administration clerk.Monitor the day-to-day financial operations within the company, such as invoicing, transactions, and links to the payroll team.Oversee the monthly payroll process and act as the link between Production Admin and the Payroll department.Key account reconciliations with particular focus on trade debtor and creditor management.Business Partnering with the Systems Accountant to promote 2-way information sharing andSeek out methods for minimising financial risk to the company and implement and test the accounting controls and procedures.Stay up to date with technological advances and accounting software to be used for financial purposes and assist with the continuing improvement of the IT systems including the accounts package.Prepare of quarterly VAT returns, staying current with relevant VAT rules and legislation.Contribute towards the maintenance and enhancement of financial policies and procedures for the company.Maintain the fixed asset registers.Oversee BACS payment runs and manage any ad hoc payments.",https://www.linkedin.com/jobs/search/?currentJobId=3523435220&geoId=103644278&keywords=financial%20manager&location=United%20States&refresh=true&start=25
